City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,anadyr,64.75,177.4833,287.43,62,40,3.0,RU,1691645320
1,lebu,-37.6167,-73.65,284.4,88,63,5.06,CL,1691645321
2,blackmans bay,-43.0167,147.3167,287.33,58,63,4.86,AU,1691645321
3,vanadzor,40.8046,44.4939,297.39,66,0,1.28,AM,1691645321
4,i-n-salah,27.1935,2.4607,304.31,16,0,4.63,DZ,1691645321
5,saipan,15.1355,145.701,300.73,100,75,3.58,MP,1691645322
6,adamstown,-25.066,-130.1015,292.65,53,88,9.26,PN,1691645322
7,trairi,-3.2778,-39.2689,297.53,84,25,4.06,BR,1691645125
8,st. john's,47.5649,-52.7093,286.01,97,100,7.72,CA,1691645183
9,vorgashor,67.5833,63.95,288.21,58,58,5.66,RU,1691645322
10,keflavik,64.0049,-22.5624,285.1,76,0,4.63,IS,1691645324
11,tauranga,-37.6861,176.1667,284.79,79,91,1.34,NZ,1691645031
12,sitka,57.0531,-135.33,288.09,88,100,1.54,US,1691645324
13,udachny,66.4167,112.4,292.29,59,94,7.85,RU,1691645324
14,vadso,70.0744,29.7487,295.64,68,0,1.54,NO,1691645325
15,port-aux-francais,-49.35,70.2167,277.14,88,95,10.53,TF,1691645325
16,bethel,41.3712,-73.414,295.09,80,0,2.57,US,1691645224
17,lazaro cardenas,17.9583,-102.2,300.76,82,100,0.85,MX,1691645325
18,waitangi,-43.9535,-176.5597,281.94,86,4,2.19,NZ,1691645326
19,christchurch,-43.5333,172.6333,280.26,70,75,5.66,NZ,1691645109
20,whitehorse,60.7161,-135.0538,290.58,48,75,3.6,CA,1691645314
21,grytviken,-54.2811,-36.5092,268.37,88,94,2.13,GS,1691645326
22,sola,-13.8833,167.55,295.87,82,100,9.89,VU,1691645327
23,virginia,37.5481,-77.4467,298.81,79,75,3.09,US,1691645037
24,chantada,42.6088,-7.7712,285.79,97,33,1.22,ES,1691645327
25,albany,42.6001,-73.9662,291.38,87,51,0.45,US,1691645251
26,vila velha,-20.3297,-40.2925,296.12,92,40,3.6,BR,1691645328
27,kone,-21.0595,164.8658,292.96,50,53,6.86,NC,1691645328
28,vikulovo,56.8167,70.6107,288.83,75,99,2.54,RU,1691645328
29,tingi,-11.3,35.0333,287.75,61,8,2.47,TZ,1691645328
30,yellowknife,62.456,-114.3525,291.44,59,100,3.6,CA,1691645329
31,papatowai,-46.5619,169.4708,277.75,81,56,2.79,NZ,1691645329
32,olonkinbyen,70.9221,-8.7187,279.35,100,100,3.34,SJ,1691645329
33,santo antonio do ica,-3.1022,-67.9397,297.39,86,73,0.72,BR,1691645329
34,georgetown,5.4112,100.3354,303.14,75,20,4.12,MY,1691645254
35,tateyama,34.9833,139.8667,301.75,76,44,4.74,JP,1691645330
36,petropavlovsk-kamchatsky,53.0452,158.6483,290.48,72,40,8.0,RU,1691645058
37,iqaluit,63.7506,-68.5145,277.0,100,100,2.06,CA,1691645331
38,kvissleby,62.2936,17.375,287.06,89,79,3.61,SE,1691645331
39,kalispell,48.1958,-114.3129,288.87,85,75,2.57,US,1691645331
40,devarkonda,16.7,78.9333,305.55,47,93,4.08,IN,1691645332
41,nahiyat ash shinafiyah,31.5874,44.6602,312.59,10,0,6.12,IQ,1691645332
42,puerto natales,-51.7236,-72.4875,274.04,96,90,1.45,CL,1691645332
43,port augusta,-32.5,137.7667,289.12,51,0,5.24,AU,1691645332
